car_name, model, mpg,  odometer, miles, gallons, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude, brand
"Pathfinder","Nissan Pathfinder",20.56,139619.0,293,14.252,3.679,0,2018-10-01,2018-10-01 02:21:15,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.72,139326.0,114,6.433,3.809,50,2018-09-30,2018-09-30 18:02:48,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",18.29,139212.0,260,14.219,4.149,20,2018-09-30,2018-09-30 00:22:11,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",19.3,138952.0,281,14.563,4.229,0,2018-09-28,2018-09-28 18:23:27,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.49,138671.0,262,15.889,3.689,90,2018-09-28,2018-09-28 04:13:07,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.19,138409.0,289,17.846,3.299,50,2018-09-16,2018-09-16 00:06:37,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.09,138120.0,232,15.372,3.589,75,2018-09-09,2018-09-09 20:40:44,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.39,137888.0,285,17.39,3.529,65,2018-09-03,2018-09-03 21:47:31,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.77,137603.0,182,17.909,3.509,50,2018-08-26,2018-08-26 23:38:57,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,137421.0,154,2.123,3.769,100,2018-08-25,2018-08-25 21:22:43,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",15.12,137267.0,252,16.665,3.519,100,2018-08-20,2018-08-20 18:19:20,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",14.04,137015.0,228,16.235,3.489,100,2018-08-08,2018-08-08 01:35:36,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.85,136787.0,162,9.614,3.399,50,2018-07-31,2018-07-31 19:56:48,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.44,136625.0,290,17.644,3.489,50,2018-07-27,2018-07-27 02:22:59,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.25,136335.0,294,18.09,3.549,75,2018-07-19,2018-07-19 19:21:05,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.48,136041.0,266,17.183,3.599,100,2018-07-10,2018-07-10 20:39:16,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.57,135775.0,291,17.567,3.619,90,2018-07-03,2018-07-03 21:41:14,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.83,135484.0,287,17.056,3.589,60,2018-06-28,2018-06-28 18:31:12,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.77,135197.0,283,16.871,3.549,95,2018-06-21,2018-06-21 21:26:16,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.82,134914.0,275,16.351,3.569,50,2018-06-15,2018-06-15 03:16:31,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.01,134639.0,273,17.048,3.619,75,2018-06-09,2018-06-09 23:30:53,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.07,134366.0,291,18.113,3.579,70,2018-06-03,2018-06-03 22:56:54,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.96,134075.0,52,15.969,3.669,100,2018-05-27,2018-05-27 03:47:10,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,134023.0,246,2.7,3.699,85,2018-05-27,2018-05-27 03:29:35,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",15.29,133777.0,257,16.814,3.599,75,2018-05-19,2018-05-19 21:21:45,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.79,133520.0,273,17.295,3.599,100,2018-05-13,2018-05-13 01:57:31,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.02,133247.0,295,18.417,3.549,60,2018-05-04,2018-05-04 02:36:25,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.36,132952.0,227,14.777,3.499,100,2018-04-25,2018-04-25 14:28:25,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.61,132725.0,270,16.259,3.459,75,2018-04-18,2018-04-18 03:20:07,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",18.77,132455.0,211,11.239,3.359,40,2018-04-10,2018-04-10 19:21:08,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.78,132244.0,232,14.7,3.469,75,2018-04-07,2018-04-07 17:55:18,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.16,132012.0,280,17.332,3.449,50,2018-04-01,2018-04-01 18:20:12,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",14.94,131732.0,255,17.069,3.049,85,2018-03-24,2018-03-24 20:53:13,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.05,131477.0,277,18.409,3.349,100,2018-03-17,2018-03-17 20:13:41,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.84,131200.0,250,15.785,3.309,100,2018-03-11,2018-03-11 03:09:34,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.72,130950.0,268,17.05,3.329,100,2018-03-05,2018-03-05 03:29:30,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",14.79,130682.0,268,18.123,3.369,100,2018-02-25,2018-02-25 20:52:29,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.58,130414.0,264,16.947,3.349,100,2018-02-18,2018-02-18 21:19:34,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.49,130150.0,257,16.592,3.299,100,2018-02-13,2018-02-13 14:52:59,"","Rewards card",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.6,129893.0,270,17.308,3.449,85,2018-02-07,2018-02-07 02:22:16,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.43,129623.0,164,18.728,3.399,75,2018-01-30,2018-01-30 19:38:08,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,129459.0,209,5.446,3.059,80,2018-01-24,2018-01-24 03:45:44,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",15.86,129250.0,295,18.6,3.199,75,2018-01-20,2018-01-20 03:34:55,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.63,128955.0,273,17.463,3.199,80,2018-01-14,2018-01-14 21:20:26,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.11,128682.0,280,17.38,3.139,80,2018-01-09,2018-01-09 16:31:44,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.66,128402.0,288,17.289,3.039,50,2018-01-03,2018-01-03 00:37:38,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.31,128114.0,311,17.966,3.099,75,2017-12-28,2017-12-28 19:15:39,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",14.23,127803.0,257,18.064,2.999,80,2017-12-23,2017-12-23 04:51:04,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.77,127546.0,279,17.693,3.059,85,2017-12-16,2017-12-16 00:56:51,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.64,127267.0,305,18.329,3.099,85,2017-12-09,2017-12-09 19:51:43,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.53,126962.0,287,18.476,3.199,100,2017-12-02,2017-12-02 22:44:37,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.24,126675.0,39,16.739,3.239,85,2017-11-25,2017-11-25 02:03:21,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,126636.0,287,3.334,2.999,85,2017-11-24,2017-11-24 04:15:43,"","",0,1,,,""
"Pathfinder","Nissan Pathfinder",16.91,126349.0,309,18.269,3.249,65,2017-11-18,2017-11-18 17:34:18,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.3,126040.0,332,19.196,3.259,50,2017-11-10,2017-11-10 22:11:27,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",18.8,125708.0,371,19.739,3.259,50,2017-11-04,2017-11-04 17:55:04,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.28,125337.0,298,19.507,2.99,75,2017-10-28,2017-10-28 17:38:03,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.19,125039.0,295,18.219,2.989,75,2017-10-20,2017-10-20 22:29:35,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.79,124744.0,289,18.305,3.039,50,2017-10-14,2017-10-14 19:49:39,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.36,124455.0,290,17.723,3.059,50,2017-10-08,2017-10-08 02:29:08,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.39,124165.0,311,17.887,3.059,50,2017-10-03,2017-10-03 15:57:54,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.57,123854.0,201,12.91,3.099,75,2017-09-29,2017-09-29 15:18:58,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.61,123653.0,286,17.219,3.099,85,2017-09-24,2017-09-24 02:22:46,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.12,123367.0,254,16.796,3.099,75,2017-09-20,2017-09-20 04:38:03,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.06,123113.0,260,17.268,3.139,75,2017-09-13,2017-09-13 02:59:28,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.59,122853.0,294,17.719,3.139,75,2017-09-01,2017-09-01 22:37:04,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",18.23,122559.0,255,13.988,2.999,75,2017-08-26,2017-08-26 23:18:23,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.35,122304.0,307,17.696,2.999,75,2017-08-23,2017-08-23 18:52:17,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.19,121997.0,279,16.231,2.899,75,2017-08-16,2017-08-16 18:10:50,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",15.92,121718.0,272,17.082,2.899,75,2017-08-10,2017-08-10 18:04:07,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.39,121446.0,280,17.083,2.899,75,2017-08-04,2017-08-04 21:37:56,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.87,121166.0,305,18.078,2.899,50,2017-07-30,2017-07-30 21:20:27,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.81,120861.0,316,17.744,2.879,50,2017-07-22,2017-07-22 21:35:14,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.24,120545.0,313,18.157,2.899,50,2017-07-14,2017-07-14 22:40:58,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",19.28,120232.0,343,17.79,2.899,25,2017-07-07,2017-07-07 03:05:40,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",18.24,119889.0,329,18.033,2.899,50,2017-07-03,2017-07-03 00:50:54,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",18.13,119560.0,321,17.703,2.899,85,2017-06-25,2017-06-25 18:41:35,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.33,119239.0,294,18,3.049,85,2017-06-20,2017-06-20 05:22:50,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",17.37,118945.0,310,17.85,3.039,50,2017-06-14,2017-06-14 14:13:38,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.04,118635.0,238,14.835,3.049,85,2017-06-11,2017-06-11 02:06:00,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",16.53,118397.0,248,15.005,3.059,75,2017-06-06,2017-06-06 22:36:34,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",14.8,118149.0,197,13.312,3.059,75,2017-06-02,2017-06-02 22:32:24,"","",0,0,,,""
"Pathfinder","Nissan Pathfinder",0,117952.0,0,10.974,2.979,50,2017-05-29,2017-05-29 22:32:30,"","",0,0,,,""
