car_name, model, mpg,  odometer, miles, gallons, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude, brand
"Accord","Honda Accord Hybrid",46.17,6906.0,493,10.679,3.399,,2019-09-04,2019-09-04 22:39:20,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.43,6413.0,510,11.226,3.259,,2019-08-28,2019-08-28 18:58:37,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.62,5903.0,540,11.583,3.509,,2019-08-23,2019-08-23 22:48:09,"","",0,0,,,""
"Accord","Honda Accord Hybrid",46.64,5363.0,549,11.772,3.299,,2019-08-15,2019-08-15 01:52:18,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.11,4814.0,550,11.674,3.649,,2019-08-09,2019-08-09 05:27:34,"","",0,0,,,""
"Accord","Honda Accord Hybrid",47.7,4264.0,497,10.42,3.459,,2019-07-31,2019-07-31 02:51:38,"","",0,0,,,""
"Accord","Honda Accord Hybrid",44.59,3767.0,475,10.653,3.359,,2019-07-24,2019-07-24 22:57:41,"","",0,0,,,""
"Accord","Honda Accord Hybrid",50.18,3292.0,195,3.886,3.749,,2019-07-21,2019-07-21 15:05:09,"","",0,0,,,""
"Accord","Honda Accord Hybrid",49.65,3097.0,562,11.319,3.399,,2019-07-18,2019-07-18 00:27:05,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.22,2535.0,585,12.131,3.559,,2019-07-08,2019-07-08 01:36:12,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.92,1950.0,491,10.037,3.499,,2019-06-30,2019-06-30 20:03:36,"","",0,0,,,""
"Accord","Honda Accord Hybrid",48.67,1459.0,521,10.704,3.809,,2019-06-22,2019-06-22 04:00:17,"","",0,0,,,""
"Accord","Honda Accord Hybrid",45.06,938.0,457,10.142,3.499,,2019-06-12,2019-06-12 21:20:00,"","",0,0,,,""
"Accord","Honda Accord Hybrid",0,481.0,0,10.951,3.599,,2019-05-31,2019-05-31 19:09:47,"","",0,0,,,""
